Region,Female,Male
East Asia & Pacific,89,86
Eastern Europe & Central Asia,96,97
Latin America & Caribbean,84,79
Middle East & North Africa,70,66
South Asia,72,76
Sub-Saharan Africa,37,40
Eastern & Southern Africa,33,33
West & Central Africa,40,47
Least developed countries,34,36
World,69,70
