Region,Female,Male
East Asia & Pacific,66,62
Eastern Europe & Central Asia,60,66
Latin America & Caribbean,66,59
Middle East & North Africa,44,42
South Asia,36,41
Sub-Saharan Africa,25,31
Eastern & Southern Africa,23,26
West & Central Africa,25,35
Least developed countries,19,24
World,44,46
